ScenarioId,RunId,Step,Z1Before,Z2Before,Z3Before,Z4Before,Z1Target,Z2Target,Z3Target,Z4Target,ActionLabel,Z1After,Z2After,Z3After,Z4After,WasMasked,CrossZoneInterference,Z1Temp,Z2Temp,Z3Temp,Z4Temp,SunshineRank,ActuatorState,StuckFired
1,1,0,0,0,,,3,3,,,http://example.org/was#SetSpotlight=true,2,2,,,0,0,,,,,0,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
1,1,1,2,2,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=true,0
1,1,2,2,3,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=true,0
3,1,0,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,1,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,2,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,3,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,4,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,5,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,6,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,7,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,8,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
