StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING,TotalVisits
0,1,305,1,2,3,1,2,1,2,1,5,324
1,3,2,1,1,1,4,1,302,0,1,1,317
2,0,2,1,3,2,2,0,306,1,0,0,317
3,0,11,0,0,0,0,0,0,0,0,0,11
8,0,0,0,0,0,13,0,0,0,0,0,13
16,0,11,0,0,0,0,0,0,0,0,0,11
24,0,9,0,0,0,0,0,0,0,0,0,9
649,3,0,4,311,3,0,1,1,1,3,2,329
657,0,13,1,0,0,0,0,0,0,0,0,14
1284,1,3,1,2,0,2,3,2,1,324,3,342
1285,0,0,0,0,0,0,0,0,0,10,0,10
1286,0,1,1,0,0,0,0,4,0,0,0,6
1287,0,0,0,0,0,0,1,0,0,19,1,21
1290,2,0,0,311,2,1,1,1,3,1,0,322
1292,0,0,0,1,0,0,5,0,1,0,0,7
1293,0,0,0,0,0,2,0,0,0,0,0,2
1298,0,12,0,0,0,0,0,0,0,0,0,12
1300,0,0,17,0,0,1,0,0,0,0,1,19
1301,0,0,0,0,0,0,1,0,0,17,0,18
1305,2,2,1,1,1,336,1,0,0,0,2,346
1308,0,0,0,0,0,13,0,0,0,0,0,13
1309,0,0,0,0,0,0,0,0,0,6,0,6
1419,0,0,0,0,0,6,0,0,0,0,0,6
1422,0,0,0,0,0,0,0,0,0,10,0,10
1440,0,0,0,1,0,36,0,0,0,2,0,39
1441,0,1,0,1,0,13,0,0,1,0,0,16
1442,0,0,0,18,0,0,0,6,1,0,1,26
1443,0,5,0,0,0,0,0,0,1,0,1,7
1444,4,1,1,2,1,316,1,15,2,0,2,345
1445,1,0,0,12,0,0,0,0,0,0,1,14
1446,0,0,0,0,0,2,0,0,0,0,0,2
1447,0,0,0,0,0,27,0,0,1,0,1,29
1448,0,0,0,1,0,0,11,0,0,0,0,12
1449,0,0,0,0,0,12,0,0,1,0,0,13
1450,0,0,0,0,0,0,17,0,1,0,0,18
1452,2,1,0,1,2,0,12,0,2,0,2,22
1456,0,0,15,0,0,0,0,0,0,0,0,15
1457,0,0,0,0,0,0,0,32,1,0,2,35
1460,0,0,0,0,0,13,0,0,0,0,0,13
1464,0,1,0,0,0,9,0,0,0,0,1,11
1465,0,0,1,0,1,0,20,0,22,0,1,45
1468,1,0,1,0,0,0,6,0,0,0,1,9
1811,0,0,0,0,0,0,0,3,0,0,0,3
1814,1,0,0,0,0,0,1,0,0,13,1,16
1856,0,0,0,18,0,0,0,0,0,0,0,18
1857,1,0,3,2,1,1,1,0,0,316,3,328
1858,0,0,0,1,0,0,0,9,0,0,0,10
1859,0,0,0,0,0,0,0,8,0,0,0,8
1860,0,0,1,88,0,0,2,1,1,0,0,93
1861,6,0,0,0,0,0,0,0,0,0,0,6
1862,0,0,0,8,0,0,0,0,0,0,0,8
1863,1,0,0,0,0,0,0,0,0,5,1,7
1864,1,0,0,0,3,0,1,0,0,15,1,21
1865,0,20,0,1,0,0,0,1,0,0,0,22
1868,0,0,0,3,0,0,0,0,0,0,0,3
1872,1,0,0,0,0,0,0,0,0,33,0,34
1873,0,0,0,0,0,0,2,0,0,14,0,16
1874,0,0,0,0,0,0,0,0,0,11,0,11
1876,0,2,86,2,1,0,0,1,0,0,0,92
1880,0,0,0,0,0,0,7,0,0,0,0,7
1881,0,339,4,0,0,2,1,2,1,1,0,350
1884,0,0,0,0,0,0,0,0,0,21,1,22

# VisitedStates,62 / 2048
# VisitedStateActionPairs,207 / 22528
# TotalVisits,4231
