StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING,TotalVisits
0,1,2,1,1,1,310,2,1,0,0,1,320
1,2,0,0,1,1,298,2,2,0,4,1,311
2,1,1,2,0,1,304,1,3,1,2,0,316
3,1,1,0,0,0,0,1,0,0,12,1,16
8,1,20,1,0,0,0,0,0,0,0,0,22
16,0,0,1,0,0,9,0,1,0,0,0,11
24,0,0,12,0,0,0,0,0,0,0,0,12
649,0,0,0,11,0,0,0,1,0,0,1,13
657,0,0,0,0,0,0,0,10,0,0,0,10
1284,4,0,0,1,1,0,1,0,0,0,1,8
1285,0,0,0,0,1,0,0,1,0,4,0,6
1286,0,1,0,0,0,0,0,3,0,0,0,4
1287,0,0,0,0,0,5,0,0,0,0,0,5
1290,1,0,0,0,1,13,0,2,0,1,2,20
1292,1,2,1,2,0,23,1,0,1,0,1,32
1293,0,1,1,0,1,0,1,0,0,2,0,6
1298,0,0,0,0,0,0,0,0,0,16,0,16
1300,0,1,0,0,0,0,0,0,1,16,1,19
1301,0,0,1,1,0,0,0,2,0,0,0,4
1305,0,0,1,0,1,37,0,0,0,0,0,39
1308,1,1,1,0,1,0,5,0,0,0,0,9
1309,0,1,0,0,0,0,0,0,0,3,0,4
1419,0,12,0,0,0,0,0,0,0,0,0,12
1422,0,0,0,0,1,8,0,0,3,0,0,12
1440,1,0,0,0,0,9,0,0,0,0,0,10
1441,0,0,0,0,0,0,0,28,0,0,0,28
1442,0,0,0,11,0,0,10,0,1,0,0,22
1443,0,0,0,23,0,0,4,0,0,0,0,27
1444,0,0,0,0,0,0,0,0,0,80,0,80
1445,5,0,0,0,0,0,0,0,0,0,0,5
1446,0,0,1,8,0,0,0,0,0,1,0,10
1447,0,0,0,3,0,0,0,0,0,0,0,3
1448,0,0,0,0,0,15,1,19,1,0,0,36
1449,1,0,0,2,2,27,6,0,0,0,0,38
1450,0,0,0,0,0,9,0,4,0,1,0,14
1452,3,1,0,0,0,0,0,34,0,0,0,38
1456,0,0,0,0,0,8,0,0,0,0,0,8
1457,0,0,0,0,1,10,0,0,0,1,1,13
1460,0,0,0,0,0,17,0,0,0,0,0,17
1464,0,0,0,0,0,8,0,6,0,0,0,14
1465,0,0,0,0,0,12,0,0,0,5,1,18
1468,0,0,0,1,0,10,0,0,0,0,0,11
1811,0,6,0,0,0,0,0,0,0,0,0,6
1814,0,0,0,1,9,0,0,2,0,0,0,12
1856,2,0,1,1,1,0,1,2,0,365,2,375
1857,4,1,2,7,0,2,2,1,4,599,3,625
1858,1,0,0,1,0,0,2,0,1,313,1,319
1859,0,9,0,0,0,3,1,0,1,0,1,15
1860,0,0,0,2,0,0,0,0,0,12,0,14
1861,5,0,0,0,0,0,0,0,0,0,0,5
1862,0,0,0,0,1,60,0,0,0,0,0,61
1863,0,0,0,0,0,0,0,0,0,18,1,19
1864,0,0,0,10,0,0,0,0,0,0,0,10
1865,0,0,0,1,0,6,0,0,1,13,0,21
1868,1,0,0,0,1,32,3,0,1,25,3,66
1872,0,1,50,0,0,0,0,0,1,0,0,52
1873,0,0,2,0,0,22,1,0,0,16,2,43
1874,1,0,0,0,1,19,0,8,0,0,0,29
1876,1,0,4,0,1,0,1,1,1,0,0,9
1880,1,0,0,0,0,0,25,0,0,0,0,26
1881,0,45,0,0,2,23,0,0,0,0,2,72
1884,0,0,0,9,0,0,0,0,0,7,0,16

# VisitedStates,62 / 2048
# VisitedStateActionPairs,214 / 22528
# TotalVisits,3414
